ASAM,1 m_Agri,2 m_Mnfc,3 m_Services,4 d_Agri,5 d_Mnfc,6 d_Services,7 a_Agri,8 a_Mnfc,9 a_Services,10 Land,11 SkLab,12 Capital,13 tmm_world,14 tee_world,15 tssm_T1Agri,16 tssm_T2Mnfc,17 tssm_T3Servi,18 tssd_T1Agri,19 tssd_T2Mnfc,20 tssd_T3Servi,21 tf_Land,22 tf_SkLab,23 tf_Capital,24 M1Serv_world,25 M1Servi_pvst,26 ww_world,27 REGHOUS,28 PRIV,29 PRODTAX,30 DIRTAX,31 GOVT,32 CGDS,Total,
1 m_Agri,0,0,0,0,0,0,34156,180954,31472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123193,0,0,551,3936,374261,
2 m_Mnfc,0,0,0,0,0,0,125730,5951341,2277333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2496352,0,0,60619,1686289,12597663,
3 m_Services,0,0,0,0,0,0,17179,356175,1343687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736652,0,0,102531,134563,2690788,
4 d_Agri,0,0,0,0,0,0,351232,1331643,192350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319674,0,958247,0,0,5798,54408,3213351,
5 d_Mnfc,0,0,0,0,0,0,420612,12001932,6458488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11768644,0,6147501,0,0,57737,2553128,39408042,
6 d_Services,0,0,0,0,0,0,421598,6580708,17310794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542004,2690740,0,20747376,0,0,9346930,8095580,65735730,
7 a_Agri,0,0,0,3213478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3213478,
8 a_Mnfc,0,0,0,0,39256604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39256604,
9 a_Services,0,0,0,0,0,65735728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65735728,
10 Land,0,0,0,0,0,0,584781,583882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168663,
11 SkLab,0,0,0,0,0,0,956182,5140809,18352872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24449863,
12 Capital,0,0,0,0,0,0,520011,4872712,14403071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19795794,
13 tmm_world,17271,324331,47.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341650,
14 tee_world,0,0,0,-127,151439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151312,
15 tssm_T1Agri,0,0,0,0,0,0,-1484,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2614,0,0,5.55,3.46,1139,
16 tssm_T2Mnfc,0,0,0,0,0,0,-3450,33012,87811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410088,0,0,727,92224,620411,
17 tssm_T3Servi,0,0,0,0,0,0,-807,2083,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49292,0,0,2828,4685,59741,
18 tssd_T1Agri,0,0,0,0,0,0,-21979,0.125,-0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11321,0,0,-46.6,791,-9913,
19 tssd_T2Mnfc,0,0,0,0,0,0,-14823,103803,293265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973997,0,0,663,79419,1436323,
20 tssd_T3Servi,0,0,0,0,0,0,-20280,43375,32509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746911,0,0,16932,127500,946946,
21 tf_Land,0,0,0,0,0,0,-81146,9485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71661,
22 tf_SkLab,0,0,0,0,0,0,23140,1020462,3553345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4596947,
23 tf_Capital,0,0,0,0,0,0,-86979,77912,299331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290263,
24 M1Serv_world,37316,504688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542004,
25 M1Servi_pvst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542004,0,0,0,0,0,0,0,0,542004,
26 ww_world,319674,11768644,2690740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14779058,
27 REGHOUS,0,0,0,0,0,0,0,0,0,1100520,19984178,12479026,341650,151312,1139,620411,59741,-9913,1436323,946946,-71661,4596947,290263,0,0,0,0,0,2053870,5921033,0,0,49901786,
28 PRIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33403542,0,0,0,0,0,33403542,
29 PRODTAX,0,0,0,0,0,0,-10195,966316,1097742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,2053870,
30 DIRTAX,0,0,0,0,0,0,0,0,0,68143,4465687,1387203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5921033,
31 GOVT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9595274,0,0,0,0,0,9595274,
32 CGDS,0,0,0,0,0,0,0,0,0,0,0,5929565,0,0,0,0,0,0,0,0,0,0,0,0,-0.203,-0.188,6902966,0,0,0,0,0,12832531,
Total,374261,12597664,2690788,3213351,39408043,65735728,3213478,39256604,65735729,1168663,24449865,19795794,341650,151312,1139,620411,59741,-9913,1436323,946946,-71661,4596947,290263,542004,542004,14779057,49901782,33403543,2053870,5921033,9595274,12832531,415574224,
